Line Number,Number of Tokens,Language,Model
1,63,en,google/gemma-2-9b-it
2,48,en,google/gemma-2-9b-it
3,211,en,google/gemma-2-9b-it
4,47,en,google/gemma-2-9b-it
5,111,en,google/gemma-2-9b-it
6,174,en,google/gemma-2-9b-it
7,113,en,google/gemma-2-9b-it
8,196,en,google/gemma-2-9b-it
9,197,en,google/gemma-2-9b-it
10,164,en,google/gemma-2-9b-it
11,194,en,google/gemma-2-9b-it
12,149,en,google/gemma-2-9b-it
13,148,en,google/gemma-2-9b-it
14,134,en,google/gemma-2-9b-it
15,164,en,google/gemma-2-9b-it
16,160,en,google/gemma-2-9b-it
17,157,en,google/gemma-2-9b-it
18,201,en,google/gemma-2-9b-it
19,112,en,google/gemma-2-9b-it
20,183,en,google/gemma-2-9b-it
21,140,en,google/gemma-2-9b-it
22,70,en,google/gemma-2-9b-it
23,76,en,google/gemma-2-9b-it
24,49,en,google/gemma-2-9b-it
25,71,en,google/gemma-2-9b-it
26,153,en,google/gemma-2-9b-it
27,65,en,google/gemma-2-9b-it
28,89,en,google/gemma-2-9b-it
29,71,en,google/gemma-2-9b-it
30,90,en,google/gemma-2-9b-it
31,145,en,google/gemma-2-9b-it
32,49,en,google/gemma-2-9b-it
33,82,en,google/gemma-2-9b-it
34,92,en,google/gemma-2-9b-it
35,83,en,google/gemma-2-9b-it
36,142,en,google/gemma-2-9b-it
37,125,en,google/gemma-2-9b-it
38,133,en,google/gemma-2-9b-it
39,240,en,google/gemma-2-9b-it
40,48,en,google/gemma-2-9b-it
41,115,en,google/gemma-2-9b-it
42,81,en,google/gemma-2-9b-it
43,197,en,google/gemma-2-9b-it
44,201,en,google/gemma-2-9b-it
45,139,en,google/gemma-2-9b-it
46,170,en,google/gemma-2-9b-it
47,88,en,google/gemma-2-9b-it
48,123,en,google/gemma-2-9b-it
49,110,en,google/gemma-2-9b-it
50,72,en,google/gemma-2-9b-it
51,102,en,google/gemma-2-9b-it
52,123,en,google/gemma-2-9b-it
53,102,en,google/gemma-2-9b-it
54,57,en,google/gemma-2-9b-it
55,62,en,google/gemma-2-9b-it
56,92,en,google/gemma-2-9b-it
57,160,en,google/gemma-2-9b-it
58,84,en,google/gemma-2-9b-it
59,99,en,google/gemma-2-9b-it
60,103,en,google/gemma-2-9b-it
61,133,en,google/gemma-2-9b-it
62,79,en,google/gemma-2-9b-it
63,97,en,google/gemma-2-9b-it
64,152,en,google/gemma-2-9b-it
65,121,en,google/gemma-2-9b-it
66,115,en,google/gemma-2-9b-it
67,59,en,google/gemma-2-9b-it
68,167,en,google/gemma-2-9b-it
69,63,en,google/gemma-2-9b-it
70,98,en,google/gemma-2-9b-it
71,143,en,google/gemma-2-9b-it
72,214,en,google/gemma-2-9b-it
73,179,en,google/gemma-2-9b-it
74,197,en,google/gemma-2-9b-it
75,145,en,google/gemma-2-9b-it
76,57,en,google/gemma-2-9b-it
77,124,en,google/gemma-2-9b-it
78,90,en,google/gemma-2-9b-it
79,67,en,google/gemma-2-9b-it
80,78,en,google/gemma-2-9b-it
81,118,en,google/gemma-2-9b-it
82,115,en,google/gemma-2-9b-it
83,125,en,google/gemma-2-9b-it
84,177,en,google/gemma-2-9b-it
85,111,en,google/gemma-2-9b-it
86,60,en,google/gemma-2-9b-it
87,140,en,google/gemma-2-9b-it
88,76,en,google/gemma-2-9b-it
89,93,en,google/gemma-2-9b-it
90,136,en,google/gemma-2-9b-it
91,151,en,google/gemma-2-9b-it
92,141,en,google/gemma-2-9b-it
93,52,en,google/gemma-2-9b-it
94,106,en,google/gemma-2-9b-it
95,106,en,google/gemma-2-9b-it
96,131,en,google/gemma-2-9b-it
97,238,en,google/gemma-2-9b-it
98,103,en,google/gemma-2-9b-it
99,100,en,google/gemma-2-9b-it
100,76,en,google/gemma-2-9b-it
101,141,en,google/gemma-2-9b-it
102,50,en,google/gemma-2-9b-it
103,149,en,google/gemma-2-9b-it
104,158,en,google/gemma-2-9b-it
105,116,en,google/gemma-2-9b-it
106,154,en,google/gemma-2-9b-it
107,113,en,google/gemma-2-9b-it
108,150,en,google/gemma-2-9b-it
109,62,en,google/gemma-2-9b-it
110,62,en,google/gemma-2-9b-it
111,114,en,google/gemma-2-9b-it
112,164,en,google/gemma-2-9b-it
113,48,en,google/gemma-2-9b-it
114,359,en,google/gemma-2-9b-it
115,64,en,google/gemma-2-9b-it
116,89,en,google/gemma-2-9b-it
117,173,en,google/gemma-2-9b-it
118,130,en,google/gemma-2-9b-it
119,61,en,google/gemma-2-9b-it
120,72,en,google/gemma-2-9b-it
121,56,en,google/gemma-2-9b-it
122,70,en,google/gemma-2-9b-it
123,206,en,google/gemma-2-9b-it
124,153,en,google/gemma-2-9b-it
125,139,en,google/gemma-2-9b-it
126,75,en,google/gemma-2-9b-it
127,111,en,google/gemma-2-9b-it
128,86,en,google/gemma-2-9b-it
129,56,en,google/gemma-2-9b-it
130,104,en,google/gemma-2-9b-it
131,28,en,google/gemma-2-9b-it
132,257,en,google/gemma-2-9b-it
133,147,en,google/gemma-2-9b-it
134,62,en,google/gemma-2-9b-it
135,84,en,google/gemma-2-9b-it
136,81,en,google/gemma-2-9b-it
137,79,en,google/gemma-2-9b-it
138,241,en,google/gemma-2-9b-it
139,103,en,google/gemma-2-9b-it
140,157,en,google/gemma-2-9b-it
141,197,en,google/gemma-2-9b-it
142,61,en,google/gemma-2-9b-it
143,49,en,google/gemma-2-9b-it
144,211,en,google/gemma-2-9b-it
145,140,en,google/gemma-2-9b-it
146,93,en,google/gemma-2-9b-it
147,189,en,google/gemma-2-9b-it
148,235,en,google/gemma-2-9b-it
149,271,en,google/gemma-2-9b-it
150,93,en,google/gemma-2-9b-it
151,279,en,google/gemma-2-9b-it
152,91,en,google/gemma-2-9b-it
153,73,en,google/gemma-2-9b-it
154,62,en,google/gemma-2-9b-it
155,173,en,google/gemma-2-9b-it
156,94,en,google/gemma-2-9b-it
157,82,en,google/gemma-2-9b-it
158,108,en,google/gemma-2-9b-it
159,54,en,google/gemma-2-9b-it
160,181,en,google/gemma-2-9b-it
161,67,en,google/gemma-2-9b-it
162,101,en,google/gemma-2-9b-it
163,160,en,google/gemma-2-9b-it
164,167,en,google/gemma-2-9b-it
165,173,en,google/gemma-2-9b-it
166,228,en,google/gemma-2-9b-it
167,131,en,google/gemma-2-9b-it
168,131,en,google/gemma-2-9b-it
169,77,en,google/gemma-2-9b-it
170,294,en,google/gemma-2-9b-it
171,67,en,google/gemma-2-9b-it
172,64,en,google/gemma-2-9b-it
173,107,en,google/gemma-2-9b-it
174,202,en,google/gemma-2-9b-it
175,97,en,google/gemma-2-9b-it
176,72,en,google/gemma-2-9b-it
177,196,en,google/gemma-2-9b-it
178,100,en,google/gemma-2-9b-it
179,113,en,google/gemma-2-9b-it
180,129,en,google/gemma-2-9b-it
181,60,en,google/gemma-2-9b-it
182,62,en,google/gemma-2-9b-it
183,130,en,google/gemma-2-9b-it
184,169,en,google/gemma-2-9b-it
185,70,en,google/gemma-2-9b-it
186,73,en,google/gemma-2-9b-it
187,68,en,google/gemma-2-9b-it
188,91,en,google/gemma-2-9b-it
189,202,en,google/gemma-2-9b-it
190,205,en,google/gemma-2-9b-it
191,92,en,google/gemma-2-9b-it
192,182,en,google/gemma-2-9b-it
193,93,en,google/gemma-2-9b-it
194,148,en,google/gemma-2-9b-it
195,112,en,google/gemma-2-9b-it
196,148,en,google/gemma-2-9b-it
197,182,en,google/gemma-2-9b-it
198,137,en,google/gemma-2-9b-it
199,91,en,google/gemma-2-9b-it
200,203,en,google/gemma-2-9b-it
201,193,en,google/gemma-2-9b-it
202,147,en,google/gemma-2-9b-it
203,122,en,google/gemma-2-9b-it
204,209,en,google/gemma-2-9b-it
205,119,en,google/gemma-2-9b-it
206,175,en,google/gemma-2-9b-it
207,58,en,google/gemma-2-9b-it
208,135,en,google/gemma-2-9b-it
209,121,en,google/gemma-2-9b-it
210,105,en,google/gemma-2-9b-it
211,83,en,google/gemma-2-9b-it
212,92,en,google/gemma-2-9b-it
213,92,en,google/gemma-2-9b-it
214,56,en,google/gemma-2-9b-it
215,189,en,google/gemma-2-9b-it
216,233,en,google/gemma-2-9b-it
217,112,en,google/gemma-2-9b-it
218,156,en,google/gemma-2-9b-it
219,221,en,google/gemma-2-9b-it
220,55,en,google/gemma-2-9b-it
221,120,en,google/gemma-2-9b-it
222,92,en,google/gemma-2-9b-it
223,79,en,google/gemma-2-9b-it
224,102,en,google/gemma-2-9b-it
225,59,en,google/gemma-2-9b-it
226,90,en,google/gemma-2-9b-it
227,76,en,google/gemma-2-9b-it
228,57,en,google/gemma-2-9b-it
229,120,en,google/gemma-2-9b-it
