model,mode,language,strategy,accuracy
google__gemma-2-9b-it,normal,de,BS,0.7570394207562349
meta-llama__Llama-3.1-8B-Instruct,normal,de,BS,0.5663716814159292
google__gemma-2-9b-it,normal,de,DBS,0.7385358004827032
meta-llama__Llama-3.1-8B-Instruct,normal,de,DBS,0.5703942075623492
google__gemma-2-9b-it,normal,de,T (0.1),0.7433628318584071
meta-llama__Llama-3.1-8B-Instruct,normal,de,T (0.1),0.5760257441673371
google__gemma-2-9b-it,normal,de,T (0.7),0.6991150442477876
meta-llama__Llama-3.1-8B-Instruct,normal,de,T (0.7),0.5261464199517297
google__gemma-2-9b-it,normal,de,Top-$k$,0.6500402252614642
meta-llama__Llama-3.1-8B-Instruct,normal,de,Top-$k$,0.43684633950120677
google__gemma-2-9b-it,normal,de,Top-$p$,0.7345132743362832
meta-llama__Llama-3.1-8B-Instruct,normal,de,Top-$p$,0.5728077232502011
google__gemma-2-9b-it,normal,en,BS,0.7868061142397426
meta-llama__Llama-3.1-8B-Instruct,normal,en,BS,0.7666934835076428
google__gemma-2-9b-it,normal,en,DBS,0.7811745776347546
meta-llama__Llama-3.1-8B-Instruct,normal,en,DBS,0.7433628318584071
google__gemma-2-9b-it,normal,en,T (0.1),0.7851971037811746
meta-llama__Llama-3.1-8B-Instruct,normal,en,T (0.1),0.7642799678197908
google__gemma-2-9b-it,normal,en,T (0.7),0.7634754625905068
meta-llama__Llama-3.1-8B-Instruct,normal,en,T (0.7),0.6950925181013676
google__gemma-2-9b-it,normal,en,Top-$k$,0.7224456958970233
meta-llama__Llama-3.1-8B-Instruct,normal,en,Top-$k$,0.6790024135156878
google__gemma-2-9b-it,normal,en,Top-$p$,0.7876106194690266
meta-llama__Llama-3.1-8B-Instruct,normal,en,Top-$p$,0.7586484312148029
google__gemma-2-9b-it,normal,sw,BS,0.6251005631536605
meta-llama__Llama-3.1-8B-Instruct,normal,sw,BS,0.4014481094127112
google__gemma-2-9b-it,normal,sw,DBS,0.6146419951729686
meta-llama__Llama-3.1-8B-Instruct,normal,sw,DBS,0.3668543845534996
google__gemma-2-9b-it,normal,sw,T (0.1),0.6178600160901045
meta-llama__Llama-3.1-8B-Instruct,normal,sw,T (0.1),0.3403057119871279
google__gemma-2-9b-it,normal,sw,T (0.7),0.581657280772325
meta-llama__Llama-3.1-8B-Instruct,normal,sw,T (0.7),0.28881737731295254
google__gemma-2-9b-it,normal,sw,Top-$k$,0.5358004827031375
