Model,Language,Accuracy
Gemma-2-9b-it,bn,0.5293644408688657
Gemma-2-9b-it,de,0.7409493161705552
Gemma-2-9b-it,en,0.7795655671761866
Gemma-2-9b-it,es,0.7699115044247787
Gemma-2-9b-it,fr,0.7514078841512469
Gemma-2-9b-it,ja,0.5358004827031375
Gemma-2-9b-it,ru,0.7039420756234915
Gemma-2-9b-it,sw,0.6218825422365245
Gemma-2-9b-it,zh,0.5325824617860017
Gemma-2-9b-it,te,0.48431214802896216
Gemma-2-9b-it,th,0.5438455349959774
CrystalChat,bn,0.012872083668543845
CrystalChat,de,0.24859211584875301
CrystalChat,en,0.3250201126307321
CrystalChat,es,0.251810136765889
CrystalChat,fr,0.23732904263877716
CrystalChat,ja,0.10136765888978279
CrystalChat,ru,0.19549477071600965
CrystalChat,sw,0.050683829444891394
CrystalChat,zh,0.11826226870474658
CrystalChat,te,0.0008045052292839903
CrystalChat,th,0.03459372485921158
Llama-3.1-8B-Instruct,bn,0.249396621078037
Llama-3.1-8B-Instruct,de,0.581657280772325
Llama-3.1-8B-Instruct,en,0.7642799678197908
Llama-3.1-8B-Instruct,es,0.6436041834271923
Llama-3.1-8B-Instruct,fr,0.5937248592115849
Llama-3.1-8B-Instruct,ja,0.43765084473049076
Llama-3.1-8B-Instruct,ru,0.5752212389380531
Llama-3.1-8B-Instruct,sw,0.333869670152856
Llama-3.1-8B-Instruct,zh,0.40627514078841515
Llama-3.1-8B-Instruct,te,0.0917135961383749
Llama-3.1-8B-Instruct,th,0.33789219629927597
Mathstral-7B-v0.1,bn,0.16170555108608206
Mathstral-7B-v0.1,de,0.5760257441673371
Mathstral-7B-v0.1,en,0.7345132743362832
Mathstral-7B-v0.1,es,0.6444086886564763
Mathstral-7B-v0.1,fr,0.6202735317779565
Mathstral-7B-v0.1,ja,0.3467417538213998
Mathstral-7B-v0.1,ru,0.5261464199517297
Mathstral-7B-v0.1,sw,0.2172164119066774
Mathstral-7B-v0.1,zh,0.4223652453740949
Mathstral-7B-v0.1,te,0.07240547063555913
Mathstral-7B-v0.1,th,0.22928399034593724
Mistral-7B-Instruct-v0.3,bn,0.061142397425583264
Mistral-7B-Instruct-v0.3,de,0.3563958165728077
Mistral-7B-Instruct-v0.3,en,0.48431214802896216
Mistral-7B-Instruct-v0.3,es,0.4006436041834272
Mistral-7B-Instruct-v0.3,fr,0.37329042638777155
Mistral-7B-Instruct-v0.3,ja,0.18020917135961384
Mistral-7B-Instruct-v0.3,ru,0.31134352373290425
Mistral-7B-Instruct-v0.3,sw,0.08447304907481899
Mistral-7B-Instruct-v0.3,zh,0.2325020112630732
Mistral-7B-Instruct-v0.3,te,0.004022526146419952
Mistral-7B-Instruct-v0.3,th,0.08045052292839903
aya-expanse-8b,bn,0.14722445695897024
aya-expanse-8b,de,0.6500402252614642
aya-expanse-8b,en,0.7610619469026548
aya-expanse-8b,es,0.6757843925985519
aya-expanse-8b,fr,0.6846339501206757
aya-expanse-8b,ja,0.5116653258246179
aya-expanse-8b,ru,0.6307320997586484
aya-expanse-8b,sw,0.11102172164119067
aya-expanse-8b,zh,0.5213193885760258
aya-expanse-8b,te,0.012872083668543845
aya-expanse-8b,th,0.14722445695897024
