Model,Language,Accuracy
Gemma-2-9b-it,bn,0.5261464199517297
Gemma-2-9b-it,de,0.6765888978278359
Gemma-2-9b-it,en,0.7055510860820595
Gemma-2-9b-it,es,0.6926790024135157
Gemma-2-9b-it,fr,0.6934835076427996
Gemma-2-9b-it,ja,0.4786806114239743
Gemma-2-9b-it,ru,0.6548672566371682
Gemma-2-9b-it,sw,0.5792437650844731
Gemma-2-9b-it,zh,0.47948511665325827
Gemma-2-9b-it,te,0.49798873692679
Gemma-2-9b-it,th,0.5132743362831859
CrystalChat,bn,0.02413515687851971
CrystalChat,de,0.2244569589702333
CrystalChat,en,0.2751407884151247
CrystalChat,es,0.22847948511665325
CrystalChat,fr,0.2244569589702333
CrystalChat,ja,0.09090909090909091
CrystalChat,ru,0.18664521319388577
CrystalChat,sw,0.04746580852775543
CrystalChat,zh,0.0997586484312148
CrystalChat,te,0.0008045052292839903
CrystalChat,th,0.04424778761061947
Llama-3.1-8B-Instruct,bn,0.3242156074014481
Llama-3.1-8B-Instruct,de,0.5245374094931617
Llama-3.1-8B-Instruct,en,0.7184231697506034
Llama-3.1-8B-Instruct,es,0.5720032180209171
Llama-3.1-8B-Instruct,fr,0.5197103781174578
Llama-3.1-8B-Instruct,ja,0.37892196299275943
Llama-3.1-8B-Instruct,ru,0.5277554304102977
Llama-3.1-8B-Instruct,sw,0.3032984714400644
Llama-3.1-8B-Instruct,zh,0.36283185840707965
Llama-3.1-8B-Instruct,te,0.2325020112630732
Llama-3.1-8B-Instruct,th,0.3185840707964602
Mathstral-7B-v0.1,bn,0.25583266291230894
Mathstral-7B-v0.1,de,0.4899436846339501
Mathstral-7B-v0.1,en,0.588093322606597
Mathstral-7B-v0.1,es,0.5406275140788415
Mathstral-7B-v0.1,fr,0.5494770716009654
Mathstral-7B-v0.1,ja,0.3057119871279163
Mathstral-7B-v0.1,ru,0.46178600160901045
Mathstral-7B-v0.1,sw,0.20434432823813356
Mathstral-7B-v0.1,zh,0.36122284794851167
Mathstral-7B-v0.1,te,0.21238938053097345
Mathstral-7B-v0.1,th,0.23572003218020918
Mistral-7B-Instruct-v0.3,bn,0.08608205953338696
Mistral-7B-Instruct-v0.3,de,0.29525341914722447
Mistral-7B-Instruct-v0.3,en,0.39823008849557523
Mistral-7B-Instruct-v0.3,es,0.33065164923572005
Mistral-7B-Instruct-v0.3,fr,0.31938857602574416
Mistral-7B-Instruct-v0.3,ja,0.14481094127111827
Mistral-7B-Instruct-v0.3,ru,0.26387771520514886
Mistral-7B-Instruct-v0.3,te,0.008849557522123894
Mistral-7B-Instruct-v0.3,sw,0.07160096540627514
Mistral-7B-Instruct-v0.3,zh,0.1914722445695897
Mistral-7B-Instruct-v0.3,th,0.07723250201126307
aya-expanse-8b,bn,0.21962992759452937
aya-expanse-8b,de,0.5977473853580049
aya-expanse-8b,en,0.6894609814963797
aya-expanse-8b,es,0.6194690265486725
aya-expanse-8b,fr,0.6339501206757844
aya-expanse-8b,ja,0.4682220434432824
aya-expanse-8b,ru,0.5744167337087691
aya-expanse-8b,sw,0.10941271118262269
aya-expanse-8b,zh,0.45454545454545453
aya-expanse-8b,te,0.0667739340305712
aya-expanse-8b,th,0.1568785197103781
